,2,5,4,1,3,6,7
上衣,1315301,1311972,1315073,1308635,1312097,1314682,1314771
健身器材,1406501,1407572,1407355,1398950,1408561,1408304,1406488
儿童课外读物,1395318,1392895,1395934,1390320,1393759,1395410,1395783
内衣,1394952,1393988,1394540,1389726,1394812,1396208,1393313
办公用品,1309166,1309410,1309110,1302532,1309045,1307075,1309141
卫浴用品,1476593,1475154,1476268,1472944,1477328,1474354,1476304
厨具,1320122,1319658,1318837,1314942,1319124,1319756,1320116
围巾,1513311,1508410,1511930,1505991,1508711,1510509,1509955
外套,1388827,1386717,1389585,1384385,1389739,1389290,1390260
婴儿用品,1377899,1377412,1376931,1372912,1378273,1376900,1378210
家具,1366726,1367338,1364534,1360450,1367642,1367589,1366547
帽子,1373172,1372056,1372526,1366250,1372624,1374767,1372596
平板电脑,1372648,1371008,1372845,1365650,1371995,1372476,1371203
床上用品,1331774,1332083,1331387,1326805,1330270,1332284,1332560
户外装备,1325500,1323428,1327577,1318913,1324049,1327452,1325742
手套,1344035,1341320,1343639,1339680,1342043,1341880,1345491
摄像机,1231901,1232921,1232359,1227792,1232705,1232954,1232083
文具,1504726,1506127,1505777,1499779,1507384,1504812,1504424
智能手机,1454205,1452653,1452745,1446841,1452326,1450409,1454747
智能手表,1402093,1400878,1399395,1395631,1401933,1400467,1400411
模型,1519736,1516267,1517776,1509631,1517786,1517647,1515988
水产,1303236,1301509,1302264,1296987,1304332,1303511,1301294
水果,1472894,1469028,1470255,1464942,1470751,1470239,1469699
汽车装饰,1320632,1320231,1320560,1314022,1320102,1321072,1318308
游戏机,1417609,1416351,1419458,1413706,1418825,1418820,1417626
玩具,1331901,1331682,1330063,1326947,1328448,1329225,1330139
益智玩具,1412045,1411438,1411924,1410659,1413910,1413377,1413809
相机,1371181,1369863,1372484,1365521,1372057,1372633,1373067
笔记本电脑,1406846,1405205,1406267,1400347,1407502,1409232,1407922
米面,1347294,1350116,1349088,1344799,1349286,1346777,1349926
耳机,1424300,1422882,1425333,1419335,1423032,1423835,1423268
肉类,1372734,1370250,1369683,1366284,1372836,1373511,1373286
蔬菜,1343692,1342599,1341811,1337727,1342867,1340138,1342338
蛋奶,1330518,1331241,1332499,1325146,1330948,1331634,1332920
裙子,1440144,1440673,1440238,1433101,1440932,1441953,1440921
裤子,1416319,1418273,1418138,1412588,1418866,1419999,1418591
调味品,1285696,1285499,1285501,1280092,1285406,1283283,1285808
车载电子,1371652,1370816,1370728,1367444,1370043,1373504,1372497
零食,1437991,1433683,1438160,1432492,1434989,1436296,1435226
鞋子,1256869,1254346,1255354,1249604,1254888,1257227,1257957
音响,1255595,1253948,1255192,1251939,1254713,1256248,1255401
饮料,1457791,1456736,1459069,1453498,1457469,1458399,1457207
